Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",*  BLUEPRINT PRINTER THERMAL BP - LITE 58X,30/06/2024,Saldo Awal,"","","",0.0,PCS,232432.432432,360360.36036,0.0
"",*  BLUEPRINT SCANNER BARCODE OMNI 2D,30/06/2024,Saldo Awal,"","","",0.0,PCS,574324.324324,630630.630631,0.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",30/06/2024,Saldo Awal,"","","",0.0,UNIT,4011326.78841,4594594.594595,0.0
"",* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,30/06/2024,Saldo Awal,"","","",0.0,UNIT,3547991.823848,3693693.693694,0.0
"",* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,30/06/2024,Saldo Awal,"","","",0.0,UNIT,3761261.261261,3873873.873874,0.0
"",* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,30/06/2024,Saldo Awal,"","","",0.0,UNIT,5932432.432432,6576576.576577,0.0
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,30/06/2024,Saldo Awal,"","","",20.0,UNIT,5098025.206806,5495495.495495,101960504.13612
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/07/2024,Sales Invoice,JL.2024.14047,"",-2.0,18.0,UNIT,5098025.206806,5585585.585586,91764453.72250801
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,04/07/2024,Sales Invoice,JL.2024.14372,"",-1.0,17.0,UNIT,5098025.206806,5765765.765766,86666428.51570201
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,05/07/2024,Sales Invoice,JL.2024.14448,"",-1.0,16.0,UNIT,5098025.206806,5810810.810811,81568403.308896
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,20/07/2024,Sales Invoice,JL.2024.15700,"",-1.0,15.0,UNIT,5098025.206806,5675675.675676,76470378.10209
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,21/07/2024,Sales Invoice,JL.2024.15735,"",-2.0,13.0,UNIT,5098025.206806,5585585.585586,66274327.68847801
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,21/07/2024,Sales Invoice,JL.2024.15738,"",-1.0,12.0,UNIT,5098025.206806,5675675.675676,61176302.481672004
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,21/07/2024,Sales Invoice,JL.2024.15748,"",-1.0,11.0,UNIT,5098025.206806,5720720.720721,56078277.274866
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,03/08/2024,Sales Invoice,JL.2024.16943,"sdn negeri 8 sape
siplah 10.000.000
nota orbit 1.800.000 + paket internet
siplah sudah, nota sudah, pajak sudah bayar",-1.0,10.0,UNIT,5098025.206806,4954954.954955,50980252.06806
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,18/08/2024,Sales Invoice,JL.2024.18322,"",-1.0,9.0,UNIT,5098025.206806,4954954.954955,45882226.86125401
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,21/08/2024,Sales Invoice,JL.2024.18662,"",-1.0,8.0,UNIT,5098025.206806,4954954.954955,40784201.654448
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,21/08/2024,Sales Invoice,JL.2024.18674,"",-1.0,7.0,UNIT,5098025.206806,4954954.954955,35686176.447642
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/09/2024,Sales Invoice,JL.2024.20006,"",-1.0,6.0,UNIT,5098025.206806,5720720.720721,30588151.240836002
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/09/2024,Sales Invoice,JL.2024.20042,"",-1.0,5.0,UNIT,5098025.206806,5765765.765766,25490126.03403
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/09/2024,Sales Invoice,JL.2024.20051,"",-1.0,4.0,UNIT,5098025.206806,5765765.765766,20392100.827224
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/09/2024,Sales Invoice,JL.2024.20061,"",-1.0,3.0,UNIT,5098025.206806,5720720.720721,15294075.620418001
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/09/2024,Sales Invoice,JL.2024.20066,"",-1.0,2.0,UNIT,5098025.206806,5720720.720721,10196050.413612
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,24/09/2024,Sales Invoice,JL.2024.22549,"",-1.0,1.0,UNIT,5098025.206806,5405405.405405,5098025.206806
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,28/09/2024,Sales Invoice,JL.2024.22976,"",-1.0,0.0,UNIT,5098025.206806,5405405.405405,0.0
"","* ACER 3 A314-22-R2C4 AMD RYZEN TM 3 3250U 4GB SSD 256GB 14""",30/06/2024,Saldo Awal,"","","",0.0,UNIT,4819350.600601,4774774.774775,0.0
