Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",31/12/2021,Saldo Awal,"","","",0.0,UNIT,5214233.436055,5500000.0,0.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",09/03/2022,Purchase Invoice,JL.2203.02185,"",5.0,5.0,UNIT,4450000.0,4450000.0,22250000.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",15/03/2022,Sales Invoice,TN.2022.1116,"",-1.0,4.0,UNIT,4450000.0,4772727.272727,17800000.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",16/03/2022,Sales Invoice,TN.2022.1119,"",-1.0,3.0,UNIT,4450000.0,4772727.272727,13350000.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",16/03/2022,Sales Invoice,TN.2022.1124,"",-1.0,2.0,UNIT,4450000.0,4772727.272727,8900000.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",17/03/2022,Sales Invoice,TN.2022.1126,"",-1.0,1.0,UNIT,4450000.0,4727272.727273,4450000.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",17/03/2022,Sales Invoice,TN.2022.1131,"",-1.0,0.0,UNIT,4450000.0,4727272.727273,0.0
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",18/03/2022,Purchase Invoice,JL.2203.05530,"",5.0,5.0,UNIT,4336363.636364,4336363.636364,21681818.181819998
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",19/03/2022,Purchase Invoice,JL.2203.05900,"",5.0,10.0,UNIT,4336363.636364,4336363.636364,43363636.363639995
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",19/03/2022,Purchase Invoice,JL.2203.06059,"",3.0,13.0,UNIT,4336363.636364,4336363.636364,56372727.272732
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",21/03/2022,Purchase Invoice,JL.2203.06434,"",5.0,18.0,UNIT,4336363.636364,4336363.636364,78054545.454552
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",22/03/2022,Purchase Invoice,JL.2203.06782,"",4.0,22.0,UNIT,4336363.636364,4336363.636364,95400000.000008
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",23/03/2022,Purchase Invoice,JL.2203.07215,"",4.0,26.0,UNIT,4336363.636364,4336363.636364,112745454.545464
"","* ACER 3 A314 - 35 N5100 4GB 256GB SSD 14""",24/03/2022,Sales Invoice,TN.2022.1159,KO AGUS ,-1.0,25.0,UNIT,4336363.636364,4545454.545455,108409090.9091
