Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,12/02/2020,Purchase Invoice,JL.200203403,"",1.0,1.0,UNIT,4954545.454545,4954545.454545,4954545.454545
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,24/02/2020,Sales Invoice,CA8,"",-1.0,0.0,UNIT,4954545.454545,6818181.818182,0.0
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,12/06/2020,Purchase Invoice,ACJ01/01FP/2006/AC00005,"",20.0,20.0,UNIT,5081818.181818,5081818.181818,101636363.63636
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,18/06/2020,Sales Invoice,CA75,"",-1.0,19.0,UNIT,5081818.181818,5181818.181818,96554545.454542
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,27/06/2020,Sales Invoice,CA79,"",-5.0,14.0,UNIT,5081818.181818,5181818.181818,71145454.545452
"",* ACER 5 A514 52K 35TY Ci3 HDD 1TB W10,30/06/2020,Sales Invoice,CA80,"",-1.0,13.0,UNIT,5081818.181818,5181818.181818,66063636.363634
"",* Acer Aspire 3 A314 33 C8DR CEL-N4000 4GB HDD 1TB DVD WIN10 (Opsidian Black),20/06/2020,Purchase Invoice,ACJ01/01/FP/2006/BX00002,"",10.0,10.0,UNIT,3372727.272727,3372727.272727,33727272.72727
"",* Acer Aspire 3 A314 33 C8DR CEL-N4000 4GB HDD 1TB DVD WIN10 (Opsidian Black),27/06/2020,Purchase Invoice,ACJ01/01/FP/2006/BX00001,"",25.0,35.0,UNIT,3372727.272727,3372727.272727,118045454.545445
"",* Acer Aspire 3 A314 41 42PE AMD A4 HDD 1TB DVD (HITAM),20/06/2020,Purchase Invoice,ACJ01/01/FP/2006/BX00002,"",10.0,10.0,UNIT,3240909.090909,3240909.090909,32409090.90909
"",* Acer Aspire 3 A314 41 42PE AMD A4 HDD 1TB DVD (HITAM),27/06/2020,Sales Invoice,CA78,"",-4.0,6.0,UNIT,3240909.090909,3363636.363636,19445454.545454
"",* Acer Aspire 3 A314 41 42PE AMD A4 HDD 1TB DVD (HITAM),29/06/2020,Purchase Invoice,ACJ01/01/FP/2006/B100012,"",10.0,16.0,UNIT,3240909.090909,3240909.090909,51854545.454544
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,02/03/2020,Purchase Invoice,JL.2003.00044,"",1.0,1.0,UNIT,5572727.272727,5572727.272727,5572727.272727
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,05/03/2020,Sales Invoice,CA18,"",-1.0,0.0,UNIT,5572727.272727,6272727.272727,0.0
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,07/03/2020,Purchase Invoice,JL.2003.02059,"",3.0,3.0,UNIT,5572727.272727,5572727.272727,16718181.818180999
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,07/03/2020,Purchase Invoice,JL.2003.02096,"",1.0,4.0,UNIT,5572727.272727,5572727.272727,22290909.090908
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,10/03/2020,Sales Invoice,CA23,"",-1.0,3.0,UNIT,5572727.272727,6272727.272727,16718181.818180999
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,10/03/2020,Sales Invoice,CA24,"",-1.0,2.0,UNIT,5572727.272727,6272727.272727,11145454.545454
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,14/03/2020,Sales Invoice,CA25,"",-1.0,1.0,UNIT,5572727.272727,6272727.272727,5572727.272727
"",* AIO ASUS V222UAK  BA341T  Ci3 Win10,02/04/2020,Sales Invoice,CA39,"",-1.0,0.0,UNIT,5572727.272727,6272727.272727,0.0
"",* ALL IN ONE PC ACER C20 830 BC0SN.003,13/02/2020,Purchase Invoice,2002DPD224/T0009,"",5.0,5.0,UNIT,4013654.0,4013654.0,20068270.0
"",* ALL IN ONE PC ACER C20 830 BC0SN.003,21/03/2020,Sales Invoice,CA32,"",-1.0,4.0,UNIT,4013654.0,4109090.909091,16054616.0
"",* ALL IN ONE PC ACER C20 830 BC0SN.003,26/03/2020,Purchase Invoice,2003DPS224/T0034,"",7.0,11.0,UNIT,3999202.61157,3990944.675325,43991228.72727
"",* ALL IN ONE PC ACER C20 830 BC0SN.003,27/03/2020,Sales Invoice,CA34,"",-3.0,8.0,UNIT,3999202.61157,4181818.181818,31993620.89256
"",* ALL IN ONE PC ACER C20 830 BC0SN.003,15/04/2020,Sales Invoice,CA50,"",-3.0,5.0,UNIT,3999202.61157,4181818.181818,19996013.05785
"",* ALL IN ONE PC ACER C20 830 BC0SN.003,13/06/2020,Sales Invoice,CA73,"",-4.0,1.0,UNIT,3999202.61157,4181818.181818,3999202.61157
"",* ASUS A412FL  EK502T CORE I5 VGA W10,10/05/2020,Purchase Invoice,JL.2005.01310,"",1.0,1.0,UNIT,8354545.454545,8354545.454545,8354545.454545
"",* ASUS A412FL  EK502T CORE I5 VGA W10,12/05/2020,Sales Invoice,CA65,"",-1.0,0.0,UNIT,8354545.454545,8909090.909091,0.0
"",* CONVERTER DP TO VGA NYK,02/03/2020,Purchase Invoice,JL.2003.00044,"",1.0,1.0,PCS,30000.0,30000.0,30000.0
"",* CONVERTER DP TO VGA NYK,05/03/2020,Sales Invoice,CA18,"",-1.0,0.0,PCS,30000.0,77272.727273,0.0
"",* Epson L1110,06/02/2020,Purchase Invoice,PJL-20-02-00068,"",5.0,5.0,UNIT,1509090.909091,1509090.909091,7545454.545454999
"",* Epson L1110,10/03/2020,Sales Invoice,CA22,"",-1.0,4.0,UNIT,1509090.909091,1572727.272727,6036363.636364
"",* Epson L1110,01/04/2020,Purchase Invoice,PJL-20-04-00016,"",5.0,9.0,UNIT,1509090.909091,1509090.909091,13581818.181819
"",* Epson L1110,13/04/2020,Sales Invoice,CA47,"",-1.0,8.0,UNIT,1509090.909091,1572727.272727,12072727.272728
"",* Epson L1110,08/05/2020,Purchase Invoice,PJL-20-05-00055,"",5.0,13.0,UNIT,1509090.909091,1509090.909091,19618181.818183
"",* Epson L1110,02/06/2020,Purchase Invoice,PJL-20-06-00003,"",5.0,18.0,UNIT,1509090.909091,1509090.909091,27163636.363638
