Kode Barang,Barang,Tanggal,Tipe Transaksi,No. Transaksi,Deskripsi,Mutasi,Stok di Tangan,Unit,Harga Rata-Rata,Harga Beli/Jual,Nilai
"",* ACER 3 A314 - 35 N5100 4GB 256GB SSD,31/12/2023,Saldo Awal,"","","",0.0,UNIT,4011326.78841,4594594.594595,0.0
"",* ACER 3 A314 22 AMD 3020E 4GB 256GB SSD,31/12/2023,Saldo Awal,"","","",0.0,UNIT,3547991.823848,3693693.693694,0.0
"",* ACER 3 A314 22 AMD ATHLON SILVER 3050U 4GB SSD 256GB WIN 11,31/12/2023,Saldo Awal,"","","",0.0,UNIT,3761261.261261,3873873.873874,0.0
"",* ACER 3 A314 23M RYZEN 5 7520U 8GB 512GB SSD WIN 11 PURE SILVER,31/12/2023,Saldo Awal,"","","",0.0,UNIT,5932432.432432,6576576.576577,0.0
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,31/12/2023,Saldo Awal,"","","",1.0,UNIT,5489887.847031,5765765.765766,5489887.847031
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,21/05/2024,Purchase Invoice,JL.2405.06643,"",21.0,22.0,UNIT,5098025.206806,5079365.081081,112156554.549732
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,24/06/2024,Sales Invoice,JL.2024.13520,"BANTU DI NOTA ATK 

BELUM SIPLAH NUNGGU AKUN 

bos kinerja

PROJECTOR SUDAH SIPLAH
TINGGAL LAPTOP BELUM 

semua sudah siplah by rahmat 03 10 2024",-1.0,21.0,UNIT,5098025.206806,5765765.765766,107058529.34292601
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,30/06/2024,Sales Invoice,JL.2024.13965,"",-1.0,20.0,UNIT,5098025.206806,5495495.495495,101960504.13612
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,01/07/2024,Sales Invoice,JL.2024.14047,"",-2.0,18.0,UNIT,5098025.206806,5585585.585586,91764453.72250801
"",* ACER 3 A314 36M Ci3-N305 / 8GB / 512GB SSD WIN 11,04/07/2024,Sales Invoice,JL.2024.14372,"",-1.0,17.0,UNIT,5098025.206806,5765765.765766,86666428.51570201
