Tipe Aktivitas,Nama Label,15/06/2026 - 21/06/2026,""
Arus kas dari Aktivitas Operasional,Penerimaan dari pelanggan,671798800.0
Arus kas dari Aktivitas Operasional,Aset lancar lainnya,0.0
Arus kas dari Aktivitas Operasional,Pembayaran ke pemasok,-649044310.2
Arus kas dari Aktivitas Operasional,Kartu kredit dan liabilitas jangka pendek lainnya,0.0
Arus kas dari Aktivitas Operasional,Pendapatan lainnya,0.0
Arus kas dari Aktivitas Operasional,Pengeluaran operasional,0.0
Arus kas dari Aktivitas Investasi,Perolehan/Penjualan aset,0.0
Arus kas dari Aktivitas Investasi,Aktivitas investasi lainnya,0.0
Arus kas dari Aktivitas Pendanaan,Pembayaran/Penerimaan pinjaman,0.0
Arus kas dari Aktivitas Pendanaan,Ekuitas/Modal,0.0
Kenaikan (penurunan) kas,"",22754489.8
Total revaluasi bank,"",0
Saldo kas awal,"",22551112166.86
Saldo kas akhir,"",22573866656.66
