Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
02/01/2023,Faktur Pembelian,JL5523010002,YULI (HP CENTRE),Lunas,REFISI DR CV KE ARIES,38500000.0,0.0
05/01/2023,Faktur Pembelian,301-093,DEDY CV SAS,Lunas,"",22050000.0,0.0
05/01/2023,Faktur Pembelian,13914,FIKTIF BELI,Lunas,"",140000.0,0.0
05/01/2023,Faktur Pembelian,13915,ABSOLUTE BROTHER,Lunas,"",6300000.0,0.0
05/01/2023,Faktur Pembelian,13916,FIKTIF BELI,Lunas,"",400000.0,0.0
05/01/2023,Faktur Pembelian,13917,FIKTIF BELI,Lunas,"",200000.0,0.0
05/01/2023,Faktur Pembelian,00630017_036,PRIYO (K GALAXY),Lunas,TIDAK ADA NOTA,10450000.0,0.0
06/01/2023,Faktur Pembelian,13918,EKO HASAN,Lunas,"",518000.0,0.0
06/01/2023,Faktur Pembelian,13919,TE2 COMPUTER SURABAYA,Lunas,"",3850000.0,0.0
06/01/2023,Faktur Pembelian,JL.2301.00091,CANDRA (BLESSING),Lunas,"",58845000.0,0.0
06/01/2023,Faktur Pembelian,13920,FIKTIF BELI,Lunas,KO AGUS CCTV ,400000.0,0.0
06/01/2023,Faktur Pembelian,JL.2301.00146,CANDRA (BLESSING),Lunas,"",1485000.0,0.0
06/01/2023,Faktur Pembelian,13921,IQ TRONIK,Lunas,"",4600000.0,0.0
06/01/2023,Faktur Pembelian,13922,FIKTIF BELI,Lunas,"",645000.0,0.0
06/01/2023,Faktur Pembelian,PJL-23-01-00077,PT. Surya Makmur Kreasindo (HJ),Lunas,"",41275000.0,0.0
06/01/2023,Faktur Pembelian,01202313026,AGUS (DORAN),Lunas,BAYAR,26925000.0,0.0
06/01/2023,Faktur Pembelian,01202313152,AGUS (DORAN),Lunas,BAYAR,14500000.0,0.0
06/01/2023,Faktur Pembelian,001307,LILI (PLATINUM),Lunas,"",9890000.0,0.0
06/01/2023,Faktur Pembelian,FK 1442,BETA COM,Lunas,"",21920000.0,0.0
06/01/2023,Faktur Pembelian,00630184_036,PRIYO (K GALAXY),Lunas,"",1540000.0,0.0
06/01/2023,Faktur Pembelian,00630119_036,PRIYO (K GALAXY),Lunas,"",6745000.0,0.0
06/01/2023,Faktur Pembelian,01202313025,AGUS (DORAN),Lunas,BAYAR,5500000.0,0.0
07/01/2023,Faktur Pembelian,JL.2301.00876,CANDRA (BLESSING),Lunas,"",15290000.0,0.0
07/01/2023,Faktur Pembelian,JL.2301.00943,CANDRA (BLESSING),Lunas,"",2035000.0,0.0
08/01/2023,Faktur Pembelian,13924,FIKTIF BELI,Lunas,"",300000.0,0.0
