Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
02/01/2025,Faktur Pembelian,PJL-25-01-00001,PT. Surya Makmur Kreasindo (HJ),Lunas,"",6995000.0,0.0
02/01/2025,Faktur Pembelian,FK 9507,BETA COM,Lunas,"",34300000.0,0.0
03/01/2025,Faktur Pembelian,16202,PT TERA DATA INDONUSA,Lunas,"",220000.0,0.0
04/01/2025,Faktur Pembelian,JL.2501.01149,CANDRA (BLESSING),Lunas,"",18820000.0,0.0
04/01/2025,Faktur Pembelian,JKT-JKT01A-PC25010471,AGRES IT,Lunas,"",21125000.0,0.0
05/01/2025,Faktur Pembelian,16181,ATM,Lunas,"",5683000.0,0.0
05/01/2025,Faktur Pembelian,16182,RIO MATRIX TOKO,Lunas,"",550000.0,0.0
05/01/2025,Faktur Pembelian,16183,PIGURA KITA ( AMIN ),Lunas,"",2475000.0,0.0
05/01/2025,Faktur Pembelian,JKT-JKT01A-PC25010562,AGRES IT,Lunas,"",134700000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01418,CANDRA (BLESSING),Lunas,"",1790000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01422,CANDRA (BLESSING),Lunas,"",42550000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01465,CANDRA (BLESSING),Lunas,"",900000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01599,CANDRA (BLESSING),Lunas,"",14810000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01775,CANDRA (BLESSING),Lunas,"",8710000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01776,CANDRA (BLESSING),Lunas,"",17580000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01831,CANDRA (BLESSING),Lunas,"",10340000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01893,CANDRA (BLESSING),Lunas,"",38395000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01860,CANDRA (BLESSING),Lunas,"",770000.0,0.0
06/01/2025,Faktur Pembelian,16185,PT SUMBER BAHAGIA DIGITAL,Lunas,"",16995000.0,0.0
06/01/2025,Faktur Pembelian,16186,ENDRA TELKOMSEL,Lunas,"",4000000.0,0.0
06/01/2025,Faktur Pembelian,16187,FIKTIF BELI,Lunas,"",124000.0,0.0
06/01/2025,Faktur Pembelian,PJL-25-01-00046,PT. Surya Makmur Kreasindo (HJ),Lunas,"",79525000.000007,0.0
06/01/2025,Faktur Pembelian,JL.2501.01867,CANDRA (BLESSING),Lunas,"",6160000.0,0.0
06/01/2025,Faktur Pembelian,S250106023,DYNAMICS MATARAM,Lunas,"",11185000.0,0.0
06/01/2025,Faktur Pembelian,PJL-25-01-00052,PT. Surya Makmur Kreasindo (HJ),Lunas,"",8070000.0,0.0
06/01/2025,Faktur Pembelian,00681013_036,PRIYO (K GALAXY),Lunas,"",895000.0,0.0
06/01/2025,Faktur Pembelian,00681064_036,PRIYO (K GALAXY),Lunas,"",1955000.0,0.0
06/01/2025,Faktur Pembelian,JL.2501.01810,CANDRA (BLESSING),Lunas,"",11940000.0,0.0
06/01/2025,Faktur Pembelian,ONLINE SBY / INV/ 2025/003016,WULAN (DISCOUNT NOTEBOOK),Lunas,"",392000.0,0.0
06/01/2025,Faktur Pembelian,006981012_036,PRIYO (K GALAXY),Lunas,"",13695500.0,0.0
