Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
01/07/2022,Faktur Pembelian,13335,FIKTIF BELI,Lunas,"",450000.0,0.0
01/07/2022,Faktur Pembelian,13338,FIKTIF BELI,Lunas,"",600000.0,0.0
01/07/2022,Faktur Pembelian,0720220619,AGUS (DORAN),Lunas,"",16200000.0,0.0
01/07/2022,Faktur Pembelian,001060,LILI (PLATINUM),Lunas,"",957000.0,0.0
02/07/2022,Faktur Pembelian,13339,DANISH COMPUTER,Lunas,"",9300000.0,0.0
02/07/2022,Faktur Pembelian,JL.2207.00557,CANDRA (BLESSING),Lunas,"",6089999.999999,0.0
02/07/2022,Faktur Pembelian,13340,ATM SURABAYA,Lunas,"",10010000.0,0.0
02/07/2022,Faktur Pembelian,D/22/00867/NTB,PT SAMAMAJU PRIMA NTB,Lunas,"",42062892.5,0.0
02/07/2022,Faktur Pembelian,D/22/00866/NTB,PT SAMAMAJU PRIMA NTB,Lunas,"",19151808.0,0.0
02/07/2022,Faktur Pembelian,D/22/00868/NTB,PT SAMAMAJU PRIMA NTB,Lunas,"",11721656.0,0.0
02/07/2022,Faktur Pembelian,JL.2207.00510,CANDRA (BLESSING),Lunas,"",48565000.0,0.0
02/07/2022,Faktur Pembelian,13341,CANON BALI,Lunas,"",2248800.0,0.0
02/07/2022,Faktur Pembelian,JL00255276,WULAN (DISCOUNT NOTEBOOK),Lunas,"",72000.0,0.0
02/07/2022,Faktur Pembelian,00614222_036,PRIYO (K GALAXY),Lunas,"",8800000.0,0.0
02/07/2022,Faktur Pembelian,JL5522070047,YULI (HP CENTRE),Lunas,"",12500000.000001,0.0
02/07/2022,Faktur Pembelian,JL5522070048,YULI (HP CENTRE),Lunas,"",25000000.000002,0.0
02/07/2022,Faktur Pembelian,00614306_036,PRIYO (K GALAXY),Lunas,"",1800000.0,0.0
03/07/2022,Faktur Pembelian,13343,FIKTIF BELI,Lunas,"",0.0,0.0
04/07/2022,Faktur Pembelian,JL.2207.01004,CANDRA (BLESSING),Lunas,"",46884000.000002,0.0
04/07/2022,Faktur Pembelian,13344,ONLINE,Lunas,"",1030400.0,0.0
04/07/2022,Faktur Pembelian,JL.2207.01007,CANDRA (BLESSING),Lunas,"",15930000.0,0.0
04/07/2022,Faktur Pembelian,13345,FIKTIF BELI,Lunas,"",1544999.99985,0.0
04/07/2022,Faktur Pembelian,JL.2207.01275,CANDRA (BLESSING),Lunas,"",24494999.999998,0.0
04/07/2022,Faktur Pembelian,FK 9158,BETA COM,Lunas,"",64896000.0,0.0
04/07/2022,Faktur Pembelian,JL00155374,WULAN (DISCOUNT NOTEBOOK),Lunas,"",282000.0,0.0
05/07/2022,Faktur Pembelian,13346,FIKTIF BELI,Lunas,"",1000000.0,0.0
