Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
05/01/2022,Faktur Pembelian,12766,ONLINE,Lunas,"",324000.0,0.0
05/01/2022,Faktur Pembelian,12767,ONLINE,Lunas,"",9650000.0,0.0
05/01/2022,Faktur Pembelian,12768,LEON PT TUJUH ANUGRAH ABADI,Lunas,"
CANON POINT",19920000.0,0.0
05/01/2022,Faktur Pembelian,12769,ABSOLUTE BROTHER,Lunas,"",5900000.0,0.0
05/01/2022,Faktur Pembelian,12770,ONLINE,Lunas,"",540000.0,0.0
05/01/2022,Faktur Pembelian,12771,ONLINE,Lunas,"",540000.0,0.0
05/01/2022,Faktur Pembelian,12773,FIKTIF BELI,Lunas,"",500000.0,0.0
05/01/2022,Faktur Pembelian,12774,FIKTIF BELI,Lunas,"",1290000.0,0.0
05/01/2022,Faktur Pembelian,12775,FIKTIF BELI,Lunas,"",710000.0,0.0
05/01/2022,Faktur Pembelian,JL.2201.01272,CANDRA (BLESSING),Lunas,"",3570000.0,0.0
05/01/2022,Faktur Pembelian,JL.2201.01138,CANDRA (BLESSING),Lunas,"",1740000.0,0.0
05/01/2022,Faktur Pembelian,JL.2201.01139,CANDRA (BLESSING),Lunas,"",10565000.0,0.0
05/01/2022,Faktur Pembelian,12776,FIKTIF BELI,Lunas,"",684999.9999,0.0
05/01/2022,Faktur Pembelian,12777,ONLINE,Lunas,"",100000.0,0.0
05/01/2022,Faktur Pembelian,12778,BETA COM,Lunas,"",6240000.0,0.0
05/01/2022,Faktur Pembelian,ACJ01/01/FP/2201/XE00033,PT. ANGKASA CERAH JAYA,Lunas,"",25000000.0,0.0
05/01/2022,Faktur Pembelian,2200125,YOGA (WAHANA),Lunas,"",14580000.0,0.0
05/01/2022,Faktur Pembelian,JL5522010130,YULI (HP CENTRE),Lunas,"",3840000.0,0.0
05/01/2022,Faktur Pembelian,JL00140260,WULAN (DISCOUNT NOTEBOOK),Lunas,"",545500.0,0.0
05/01/2022,Faktur Pembelian,00599950_036,PRIYO (K GALAXY),Lunas,"",21150000.0,0.0
05/01/2022,Faktur Pembelian,000823,LILI (PLATINUM),Lunas,"",11080000.0,0.0
05/01/2022,Faktur Pembelian,PJL-22-01-00103,PT. Surya Makmur Kreasindo (HJ),Lunas,"",12750000.000001,0.0
05/01/2022,Faktur Pembelian,00600016_036,PRIYO (K GALAXY),Lunas,"",10287500.0,0.0
06/01/2022,Faktur Pembelian,12779,FIKTIF BELI,Lunas,"",86000.0,0.0
06/01/2022,Faktur Pembelian,JL.2201.01576,CANDRA (BLESSING),Lunas,"",22400000.0,0.0
06/01/2022,Faktur Pembelian,JL.2201.01782,CANDRA (BLESSING),Lunas,"",21900000.0,0.0
06/01/2022,Faktur Pembelian,JL.2201.01839,CANDRA (BLESSING),Lunas,"
",16200000.0,0.0
06/01/2022,Faktur Pembelian,JL.2201.01870,CANDRA (BLESSING),Lunas,"",2740000.0,0.0
06/01/2022,Faktur Pembelian,PJL-22-01-00196,PT. Surya Makmur Kreasindo (HJ),Lunas,"
",11550000.0,0.0
06/01/2022,Faktur Pembelian,12786,AGUS (DORAN),Lunas,"",10300000.0,0.0
06/01/2022,Faktur Pembelian,JL00140373,WULAN (DISCOUNT NOTEBOOK),Lunas,"",239000.0,0.0
06/01/2022,Faktur Pembelian,000826,LILI (PLATINUM),Lunas,"",3130000.0,0.0
07/01/2022,Faktur Pembelian,12781,BETA COM,Lunas,"",19680000.0,0.0
07/01/2022,Faktur Pembelian,12782,ABSOLUTE BROTHER,Lunas,"",750000.0,0.0
07/01/2022,Faktur Pembelian,12783,TATIK (LEGENDA),Lunas,"",10800000.0,0.0
07/01/2022,Faktur Pembelian,JL.2201.02049,CANDRA (BLESSING),Lunas,"",3626000.0,0.0
07/01/2022,Faktur Pembelian,JL.2201.02050,CANDRA (BLESSING),Lunas,"",24210000.0,0.0
07/01/2022,Faktur Pembelian,12784,BETA COM,Lunas,"",12760000.0,0.0
07/01/2022,Faktur Pembelian,J/00001046,CV SAHABAT KITA (EPRINT),Lunas,"",3080000.0,0.0
07/01/2022,Faktur Pembelian,12787,FIKTIF BELI,Lunas,"",525000.0,0.0
