Tanggal,Tipe Transaksi,Nomor Transaksi,Nama Panggilan,Status Hari Ini,Memo,Total,Sisa Tagihan
01/07/2025,Faktur Pembelian,16657,PT. PRIMALAYAN CITRA MANDIRI,Lunas,"",1378620.0,0.0
01/07/2025,Faktur Pembelian,JL.2507.00121,CANDRA (BLESSING),Lunas,MASUK,2820000.0,0.0
01/07/2025,Faktur Pembelian,JL.2507.00122,CANDRA (BLESSING),Lunas,MASUK,15960000.0,0.0
01/07/2025,Faktur Pembelian,JL.2507.00151,CANDRA (BLESSING),Lunas,MASUK,23980000.0,0.0
01/07/2025,Faktur Pembelian,JL.2507.00154,CANDRA (BLESSING),Lunas,MASUK,400000.0,0.0
01/07/2025,Faktur Pembelian,16658,HARAPAN BARU,Lunas,BELUM BAYAR,2200000.0,0.0
01/07/2025,Faktur Pembelian,JL.2507.00356,CANDRA (BLESSING),Lunas,"",470000.0,0.0
01/07/2025,Faktur Pembelian,JL.2507.00394,CANDRA (BLESSING),Lunas,MASUK,29525000.0,0.0
01/07/2025,Faktur Pembelian,JKT - JKT01A - PC25070068,AGRES IT,Lunas,"",26250000.0,0.0
01/07/2025,Faktur Pembelian,FK 1219,BETA COM,Lunas,"",5505000.0,0.0
01/07/2025,Faktur Pembelian,16698,AGUS (DORAN),Lunas,"",4731900.0,0.0
01/07/2025,Faktur Pembelian,16699,AGUS (DORAN),Lunas,"",1915000.0,0.0
02/07/2025,Faktur Pembelian,JL.2507.00504,CANDRA (BLESSING),Lunas,MASUK,5295000.0,0.0
02/07/2025,Faktur Pembelian,JL.2507.00810,CANDRA (BLESSING),Lunas,MASUK ,34970000.0,0.0
02/07/2025,Faktur Pembelian,16659,EDISON ATK,Lunas,"",5200000.0,0.0
02/07/2025,Faktur Pembelian,JL.2507.00639,CANDRA (BLESSING),Lunas,MASUK ,9774000.0,0.0
02/07/2025,Faktur Pembelian,ACJ01/01/FP/2507/XB00004,PT. ANGKASA CERAH JAYA,Lunas,KO ANTONI,7275000.0,0.0
02/07/2025,Faktur Pembelian,00692297_036,PRIYO (K GALAXY),Lunas,"",435000.0,0.0
02/07/2025,Faktur Pembelian,JL0000001366,IP COM TOKO,Lunas,"",10709000.0,0.0
03/07/2025,Faktur Pembelian,16660,WULAN (DISCOUNT NOTEBOOK),Lunas,"",705000.0,0.0
03/07/2025,Faktur Pembelian,16662,IQ TRONIK,Lunas,"",10400000.0,0.0
03/07/2025,Faktur Pembelian,JL.2507.00961,CANDRA (BLESSING),Lunas,MASUK,20740000.0,0.0
03/07/2025,Faktur Pembelian,JL.2507.01167,CANDRA (BLESSING),Lunas,MASUK,32050000.0,0.0
03/07/2025,Faktur Pembelian,JL.2507.01196,CANDRA (BLESSING),Lunas,"MASUK

BAYAR",470000.0,0.0
03/07/2025,Faktur Pembelian,JL.2507.01214,CANDRA (BLESSING),Lunas,MASUK,14570000.0,0.0
03/07/2025,Faktur Pembelian,JL5525070121,YULI (HP CENTRE),Lunas,"MASUK
",26700000.0,0.0
03/07/2025,Faktur Pembelian,ACJ01/01/FP/2507/XC00031,PT. ANGKASA CERAH JAYA,Lunas,MASUK,18550000.0,0.0
03/07/2025,Faktur Pembelian,ACJ01/01/FP/2507/XC00025,PT. ANGKASA CERAH JAYA,Lunas,MASUK,17100000.0,0.0
03/07/2025,Faktur Pembelian,JL.2507.01055,CANDRA (BLESSING),Lunas,"MASUK

BAYAR",1035000.0,0.0
03/07/2025,Faktur Pembelian,250700058,CV. BALI IT SOLUSI (ENY),Lunas,"",9920000.0,0.0
03/07/2025,Faktur Pembelian,ONLINE SBY / INV/2025/130755,WULAN (DISCOUNT NOTEBOOK),Lunas,"",1312000.0,0.0
03/07/2025,Faktur Pembelian,PJL-25-07-00055,PT. Surya Makmur Kreasindo (HJ),Lunas,"",7610000.0,0.0
03/07/2025,Faktur Pembelian,07202511164,AGUS (DORAN),Lunas,"",8731200.0,0.0
03/07/2025,Faktur Pembelian,07202511174,AGUS (DORAN),Lunas,"",5000000.00001,0.0
04/07/2025,Faktur Pembelian,16665,AGUS (DORAN),Lunas,BAYAR,25452000.0,0.0
04/07/2025,Faktur Pembelian,JL.2507.01548,CANDRA (BLESSING),Lunas,"MASUK

BAYAR",6925000.0,0.0
04/07/2025,Faktur Pembelian,JL.2507.01517,CANDRA (BLESSING),Lunas,MASUK,8295000.0,0.0
04/07/2025,Faktur Pembelian,JL.2507.01566,CANDRA (BLESSING),Lunas,MASUK,2859000.0,0.0
04/07/2025,Faktur Pembelian,16724,ENDRA TELKOMSEL,Lunas,"",4000000.0,0.0
05/07/2025,Faktur Pembelian,16666,LEGALA,Lunas,"",1500000.0,0.0
05/07/2025,Faktur Pembelian,JL.2507.01750,CANDRA (BLESSING),Lunas,MASUK,4525000.0,0.0
