Tanggal,Transaksi,Nomor,Kategori,Deskripsi,Supplier,Jumlah,Tax,Status,Sisa Tagihan
05/01/2024	,Expense,10313	,telkom,"",telkom,674050.0,0.0,Paid,0.0
05/01/2024	,Expense,10312	,PLN,"",PLN,341493.0,0.0,Paid,0.0
11/01/2024	,Expense,10314	,Beban Pajak - Kini,"",PAJAK RAHMAT,379515.0,0.0,Paid,0.0
11/01/2024	,Expense,10315	,Beban Pajak - Kini,"",PAJAK AKIU INGSENG,2121000.0,0.0,Paid,0.0
11/01/2024	,Expense,10318	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,60683.0,0.0,Paid,0.0
11/01/2024	,Expense,10317	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,5660022.0,0.0,Paid,0.0
11/01/2024	,Expense,10319	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,500000.0,0.0,Paid,0.0
11/01/2024	,Expense,10316	,Beban Pajak - Kini,"",PAJAK ARIES,438485.0,0.0,Paid,0.0
11/01/2024	,Expense,10320	,Beban Pajak - Kini,"",PAJAK AGUS,51400.0,0.0,Paid,0.0
04/02/2024	,Expense,10321	,KONSULTAN PAJAK,"",KONSULTAN PAJAK,3200000.0,0.0,Paid,0.0
05/02/2024	,Expense,10323	,telkom,"",telkom,674050.0,0.0,Paid,0.0
05/02/2024	,Expense,10322	,PLN,"",PLN,230251.0,0.0,Paid,0.0
19/02/2024	,Expense,10327	,Beban Pajak - Kini,"",PAJAK RAHMAT,2808140.0,0.0,Paid,0.0
19/02/2024	,Expense,10324	,Beban Pajak - Kini,"",PAJAK AGUS,398975.0,0.0,Paid,0.0
19/02/2024	,Expense,10326	,Beban Pajak - Kini,"",PAJAK AKIU INGSENG,1717000.0,0.0,Paid,0.0
19/02/2024	,Expense,10328	,Beban Pajak - Kini,"",PAJAK ARIES,1400500.0,0.0,Paid,0.0
19/02/2024	,Expense,10325	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,5637252.0,0.0,Paid,0.0
04/03/2024	,Expense,10329	,PLN,"",PLN,284283.0,0.0,Paid,0.0
04/03/2024	,Expense,10330	,telkom,"",telkom,674050.0,0.0,Paid,0.0
13/03/2024	,Expense,10334	,Beban Pajak - Kini,"",PAJAK AGUS,62480.0,0.0,Paid,0.0
13/03/2024	,Expense,10335	,Beban Pajak - Kini,"",PAJAK RAHMAT,1604640.0,0.0,Paid,0.0
13/03/2024	,Expense,10333	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,5637252.0,0.0,Paid,0.0
13/03/2024	,Expense,10331	,Beban Pajak - Kini,"",PAJAK AKIU INGSENG,2100000.0,0.0,Paid,0.0
13/03/2024	,Expense,10332	,Beban Pajak - Kini,"",PAJAK ARIES,1527305.0,0.0,Paid,0.0
04/04/2024	,Expense,10337	,PLN,"",PLN,306532.0,0.0,Paid,0.0
04/04/2024	,Expense,10336	,telkom,"",telkom,674050.0,0.0,Paid,0.0
05/04/2024	,Expense,10341	,Beban Pajak - Kini,"",PAJAK RAHMAT,1226390.0,0.0,Paid,0.0
05/04/2024	,Expense,10338	,Beban Pajak - Kini,"",PAJAK AGUS,853130.0,0.0,Paid,0.0
05/04/2024	,Expense,10339	,Beban Pajak - Kini,"",PAJAK AKIU INGSENG,1800000.0,0.0,Paid,0.0
05/04/2024	,Expense,10340	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,5637252.0,0.0,Paid,0.0
05/04/2024	,Expense,10342	,Beban Pajak - Kini,"",PAJAK ARIES,2492511.0,0.0,Paid,0.0
04/05/2024	,Expense,10344	,telkom,"",telkom,674050.0,0.0,Paid,0.0
04/05/2024	,Expense,10343	,PLN,"",PLN,228662.0,0.0,Paid,0.0
14/05/2024	,Expense,10346	,Beban Pajak - Kini,"",PAJAK ARIES,629920.0,0.0,Paid,0.0
14/05/2024	,Expense,10345	,Beban Pajak - Kini,"",PAJAK AGUS,171250.0,0.0,Paid,0.0
14/05/2024	,Expense,10349	,Beban Pajak - Kini,"",PAJAK RAHMAT,1591230.0,0.0,Paid,0.0
14/05/2024	,Expense,10347	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,5637252.0,0.0,Paid,0.0
14/05/2024	,Expense,10348	,Beban Pajak - Kini,"",PAJAK AKIU INGSENG,1919000.0,0.0,Paid,0.0
10/06/2024	,Expense,10354	,Beban Pajak - Kini,"",PAJAK RAHMAT,1639255.0,0.0,Paid,0.0
10/06/2024	,Expense,10350	,Beban Pajak - Kini,"",PAJAK AGUS,2078345.0,0.0,Paid,0.0
10/06/2024	,Expense,10351	,Beban Pajak - Kini,"",PAJAK ARIES,2776780.0,0.0,Paid,0.0
10/06/2024	,Expense,10352	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,5637252.0,0.0,Paid,0.0
10/06/2024	,Expense,10353	,Beban Pajak - Kini,"",PAJAK AKIU INGSENG,1980000.0,0.0,Paid,0.0
11/06/2024	,Expense,10356	,telkom,"",telkom,674050.0,0.0,Paid,0.0
11/06/2024	,Expense,10355	,PLN,"",PLN,324191.0,0.0,Paid,0.0
13/06/2024	,Expense,10357	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,500000.0,0.0,Paid,0.0
13/06/2024	,Expense,10358	,Beban Pajak - Kini,"",PAJAK CV TIGA NUSA,50000.0,0.0,Paid,0.0
