Tanggal,Transaksi,Nomor,Kategori,Deskripsi,Supplier,Jumlah,Tax,Status,Sisa Tagihan
03/02/2020	,Expense,10003	,PLN,"",,293965.0,0.0,Paid,0.0
03/02/2020	,Expense,10001	,telkom,"",,605000.0,0.0,Paid,0.0
03/02/2020	,Expense,10002	,PDAM,"",,55058.0,0.0,Paid,0.0
02/03/2020	,Expense,10004	,Alat Tulis Kantor & Printing,kertas A4,,72727.272727,7272.7272727,Paid,0.0
02/03/2020	,Expense,10004	,Alat Tulis Kantor & Printing,kertas F4,,81818.181818,8181.8181818,Paid,0.0
04/03/2020	,Expense,10008	,PLN,LISTRIK,PLN,307778.0,0.0,Paid,0.0
04/03/2020	,Expense,10007	,PDAM,AIR,PDAM,51991.0,0.0,Paid,0.0
05/03/2020	,Expense,10005	,telkom,internet dan telpon,telkom,578105.0,0.0,Paid,0.0
12/03/2020	,Expense,10006	,pajak cv,"",PAJAK CV TIGA NUSA,208341.0,0.0,Paid,0.0
02/04/2020	,Expense,10009	,BPJS KESEHATAN,"",BPJS KESEHATAN,222500.0,0.0,Paid,0.0
04/04/2020	,Expense,10010	,PLN,listrik,PLN,297152.0,0.0,Paid,0.0
13/04/2020	,Expense,10011	,pajak cv,"",PAJAK CV TIGA NUSA,165659.0,0.0,Paid,0.0
04/05/2020	,Expense,10012	,BPJS KESEHATAN,"",BPJS KESEHATAN,222500.0,0.0,Paid,0.0
04/05/2020	,Expense,10014	,PDAM,"",PDAM,58125.0,0.0,Paid,0.0
04/05/2020	,Expense,10015	,telkom,"",telkom,572000.0,0.0,Paid,0.0
04/05/2020	,Expense,10013	,PLN,"",PLN,68881.0,0.0,Paid,0.0
04/06/2020	,Expense,10020	,PDAM,"",PDAM,58125.0,0.0,Paid,0.0
04/06/2020	,Expense,10021	,telkom,"",telkom,572000.0,0.0,Paid,0.0
15/06/2020	,Expense,10023	,pajak cv,"",PAJAK CV TIGA NUSA,44545.0,0.0,Paid,0.0
